,,status_cat,status_cat,status_cat
status_group,,functional,functional needs repair,non functional
region,lga,,,
Arusha,Arusha Rural,875,48,329
Arusha,Arusha Urban,42,7,14
Arusha,Babati,0,0,0
Arusha,Bagamoyo,0,0,0
Arusha,Bahi,0,0,0
Arusha,Bariadi,0,0,0
Arusha,Biharamulo,0,0,0
Arusha,Bukoba Rural,0,0,0
Arusha,Bukoba Urban,0,0,0
Arusha,Bukombe,0,0,0
Arusha,Bunda,0,0,0
Arusha,Chamwino,0,0,0
Arusha,Chato,0,0,0
Arusha,Chunya,0,0,0
Arusha,Dodoma Urban,0,0,0
Arusha,Geita,0,0,0
Arusha,Hai,0,0,0
Arusha,Hanang,0,0,0
Arusha,Handeni,0,0,0
Arusha,Igunga,0,0,0
Arusha,Ilala,0,0,0
Arusha,Ileje,0,0,0
Arusha,Ilemela,0,0,0
Arusha,Iramba,0,0,0
Arusha,Iringa Rural,0,0,0
Arusha,Kahama,0,0,0
Arusha,Karagwe,0,0,0
Arusha,Karatu,316,1,9
Arusha,Kasulu,0,0,0
Arusha,Kibaha,0,0,0
Arusha,Kibondo,0,0,0
Arusha,Kigoma Rural,0,0,0
Arusha,Kigoma Urban,0,0,0
Arusha,Kilindi,0,0,0
Arusha,Kilolo,0,0,0
Arusha,Kilombero,0,0,0
Arusha,Kilosa,0,0,0
Arusha,Kilwa,0,0,0
Arusha,Kinondoni,0,0,0
Arusha,Kisarawe,0,0,0
Arusha,Kishapu,0,0,0
Arusha,Kiteto,0,0,0
Arusha,Kondoa,0,0,0
Arusha,Kongwa,0,0,0
Arusha,Korogwe,0,0,0
Arusha,Kwimba,0,0,0
Arusha,Kyela,0,0,0
Arusha,Lindi Rural,0,0,0
Arusha,Lindi Urban,0,0,0
Arusha,Liwale,0,0,0
Arusha,Longido,200,29,81
Arusha,Ludewa,0,0,0
Arusha,Lushoto,0,0,0
Arusha,Mafia,0,0,0
Arusha,Magu,0,0,0
Arusha,Makete,0,0,0
Arusha,Manyoni,0,0,0
Arusha,Masasi,0,0,0
Arusha,Maswa,0,0,0
Arusha,Mbarali,0,0,0
Arusha,Mbeya Rural,0,0,0
Arusha,Mbinga,0,0,0
Arusha,Mbozi,0,0,0
Arusha,Mbulu,0,0,0
Arusha,Meatu,0,0,0
Arusha,Meru,657,32,320
Arusha,Misenyi,0,0,0
Arusha,Missungwi,0,0,0
Arusha,Mkinga,0,0,0
Arusha,Mkuranga,0,0,0
Arusha,Monduli,95,30,64
Arusha,Morogoro Rural,0,0,0
Arusha,Morogoro Urban,0,0,0
Arusha,Moshi Rural,0,0,0
Arusha,Moshi Urban,0,0,0
Arusha,Mpanda,0,0,0
Arusha,Mpwapwa,0,0,0
Arusha,Mtwara Rural,0,0,0
Arusha,Mtwara Urban,0,0,0
Arusha,Mufindi,0,0,0
Arusha,Muheza,0,0,0
Arusha,Muleba,0,0,0
Arusha,Musoma Rural,0,0,0
Arusha,Mvomero,0,0,0
Arusha,Mwanga,0,0,0
Arusha,Nachingwea,0,0,0
Arusha,Namtumbo,0,0,0
Arusha,Nanyumbu,0,0,0
Arusha,Newala,0,0,0
