,longitude,latitude,status_group
0,34.93809275,-9.85632177,functional
1,34.6987661,-2.14746569,functional
2,37.46066446,-3.82132853,functional
3,38.48616088,-11.15529772,non functional
4,31.13084671,-1.82535885,functional
5,39.1727956,-4.76558728,functional
6,33.36240982,-3.76636472,non functional
7,32.62061707,-4.22619802,non functional
8,32.71110001,-5.14671181,non functional
9,30.62699053,-1.25705061,functional
10,39.20951812,-7.03413939,functional
11,35.77025785,-10.57417468,functional
12,33.79810612,-3.2901937999999995,functional
13,37.09257412,-3.1817833,functional
14,34.36407268,-3.62933335,functional
15,31.44412134,-8.27496163,functional
16,34.64243884,-9.10618458,non functional
17,34.56926611,-9.08551497,non functional
18,32.92015381,-1.94786801,functional needs repair
19,34.50896732,-9.8944125,functional
20,34.47342985,-9.59498965,functional
21,34.077426692028794,-5.706032659626431,functional
22,34.58690108,-8.98001429,functional needs repair
23,37.94002949,-4.12559468,functional
24,29.74706567,-4.49556758,functional
25,37.42275132,-3.31753648,functional needs repair
26,39.37077651,-9.94253166,functional
27,31.10425712,-1.73536124,functional
28,37.61112572,-3.2635263,non functional
29,37.06168837,-3.19198926,functional
30,36.1083125,-5.79099991,functional
31,38.36355454,-6.63610419,functional
32,37.49233371,-3.29062725,functional needs repair
33,34.47835586,-9.71590954,functional
34,39.81291224,-7.889986299999999,functional
35,36.61869946,-3.29300336,non functional
36,33.85434473,-9.63851993,non functional
37,35.85837259,-4.6479063,functional
38,35.89026429,-8.22439872,functional
39,30.6133054,-3.89456056,non functional
40,37.42002692,-3.47684942,functional
41,33.92790176,-9.20464923,functional
42,34.81457364,-9.03250291,functional
43,34.96778863,-4.62892053,non functional
44,36.80607857,-3.47855934,functional needs repair
45,33.34526033,-3.83899753,non functional
46,39.08741514,-11.00060373,functional needs repair
47,33.5406067,-9.17290468,functional
48,35.87141325,-8.22756303,functional
49,34.44128349,-9.18987766,functional
50,37.37285829,-3.34929238,functional
51,32.04683486,-8.57166114,non functional
52,33.95816322,-9.44812238,functional
53,34.077426692028794,-5.706032659626431,non functional
54,30.98302258,-1.68065404,functional
55,37.34816881,-3.35653763,non functional
56,37.47943592,-3.36819761,functional
57,36.72112734,-3.33981163,non functional
58,35.56134607,-3.80687858,functional
59,31.45428168,-1.56388609,functional needs repair
60,38.78943655,-5.11324963,functional
61,38.37667127,-4.647289499999999,non functional
62,29.66972029,-4.77975837,functional needs repair
63,36.94745079,-3.35002587,non functional
64,34.76272634,-4.30776106,functional
65,34.62159801,-5.17313618,non functional
66,34.89725735,-9.2035221,functional
67,30.71609028,-1.2857798,non functional
68,34.55789311,-8.88959406,non functional
69,29.76800862,-4.47180947,non functional
70,35.81898147,-8.93495018,non functional
71,34.46222769,-8.57578037,non functional
72,34.24718,-8.60751263,non functional
73,34.657034499999995,-1.88801974,non functional
74,30.41995839,-4.27996794,functional
75,31.79687285,-1.35148627,non functional
76,34.68047144,-9.3264772,functional
77,36.93165941,-3.55703413,functional
78,38.58082367,-4.8348356,non functional
79,32.25500494,-3.36190077,functional
80,34.28447604,-9.27156548,functional
81,37.722953100000005,-7.02426273,functional needs repair
82,36.75793224,-3.3747906000000003,functional
83,33.53890869,-3.36161167,functional
84,34.19057512,-1.60969058,non functional
85,32.18551701,-2.37877187,non functional
86,35.73447433,-7.91231657,functional
87,31.55890304,-2.02646851,non functional
88,38.35356668,-6.63869562,non functional
89,35.87817211,-5.89186837,functional needs repair
90,29.67098869,-4.7268496,functional needs repair
91,38.96294513,-10.47656619,non functional
92,38.89040167,-6.55790327,non functional
93,35.51217404,-4.44803987,functional
94,31.45311103,-1.19438963,non functional
95,30.21673046,-4.34106206,functional
96,30.12668109,-4.23637808,non functional
97,33.0795039,-3.00965923,functional
98,35.54217277,-10.80885305,functional needs repair
99,33.23583842,-3.56601953,non functional
100,39.04298326,-4.99423737,non functional
101,34.56343795,-4.09374985,functional
102,30.65026741,-3.55486258,functional
103,36.95075936,-11.31324316,functional needs repair
104,37.17489041,-3.21646394,functional
105,37.61640658,-3.56996907,functional
106,33.69790014,-3.26949691,functional
107,31.767300899999995,-3.0251057,non functional
108,35.63048144,-7.71054858,non functional
109,33.80508085,-9.1306743,functional
110,36.90832887,-3.33074309,non functional
111,36.87553547,-3.3445666,functional
112,31.48904738,-3.26790435,functional
113,33.23267014,-9.26648533,functional
114,36.55702857,-6.37279744,non functional
115,31.66327256,-1.08048548,non functional
116,37.48747402,-6.82950072,functional
117,33.35647131,-2.06349369,non functional
118,34.44864527,-2.02266257,functional
119,37.02381013,-5.5923447,non functional
120,34.22303933,-9.3449213,non functional
121,31.57239755,-1.42926609,functional
122,31.4647567,-2.77016894,non functional
123,36.77862138,-2.55618033,functional
124,33.87310388,-9.29061569,functional
125,32.071081,-5.06726885,non functional
126,34.71064345,-5.18676616,functional
127,34.64835709,-9.31731152,functional
128,32.95155946,-3.77939282,non functional
129,32.99370088,-2.69044203,non functional
130,31.6012707,-2.93012242,functional
131,36.84150658,-3.49366766,functional
132,33.86126585,-8.68481006,functional
133,32.54432125,-4.07660522,functional
134,38.32726235,-4.4646702000000005,functional
135,34.68859705,-9.69622598,functional
136,32.41352249,-9.09504292,non functional
137,39.88898115,-10.13363156,non functional
138,31.19411613,-3.06136744,functional
139,31.64732214,-2.78450823,functional
140,33.86084491,-9.59608383,non functional
141,37.82346185,-6.771698700000001,functional
142,32.78502522,-5.41803094,non functional
143,37.44310991,-6.29976667,functional
144,37.88687839,-6.86199999,non functional
145,39.1857105,-6.89259326,functional
146,31.65326799,-1.59857903,functional needs repair
147,34.98887131,-8.91132497,functional
148,39.6002343,-10.02772132,non functional
149,34.35839958,-8.69424705,functional
150,34.45547821,-1.24644694,functional
151,33.78421925,-8.77994557,functional
152,39.52711433,-6.98874758,non functional
153,34.56387749,-1.72068493,non functional
154,29.80857829,-4.46052001,functional
155,37.41877342,-10.91557638,non functional
156,33.54480544,-8.928838699999998,functional
157,32.17244285,-3.64330972,functional needs repair
158,34.08915375,-3.12214007,functional
159,39.55938321,-9.70159734,functional
160,34.94546531,-8.86866011,functional
161,32.06591365,-8.68875072,non functional
162,34.68050209,-8.84136926,functional
163,30.26413388,-4.52564753,functional
164,33.16358148,-2.54645921,functional
165,35.0800974,-5.32212056,functional
166,33.43789893,-4.42476057,functional
167,30.90475149,-5.10070113,non functional
168,34.077426692028794,-5.706032659626431,functional
169,39.08229758,-10.9753631,functional
170,35.98642477,-10.73055089,functional
171,31.7799078,-7.80637606,non functional
172,38.33493265,-6.45446888,functional
173,36.70397575,-8.12006358,functional
174,36.70991445,-6.64260892,non functional
175,31.52365762,-8.17864388,functional
176,35.7005422,-3.81945703,functional
177,34.077426692028794,-5.706032659626431,non functional
178,33.20344175,-9.07440778,functional
179,38.76743559,-5.17227682,non functional
180,35.63419525,-7.85014451,functional
181,39.67094346,-7.90660636,functional
182,36.8272342,-3.18469585,functional
183,32.06802448,-8.68938706,non functional
184,39.8543204,-7.78306327,functional
185,35.76391894,-8.08918663,functional
186,33.01476219,-8.43639754,non functional
187,31.51225219,-1.13959123,functional
188,33.72402918,-8.93211477,functional needs repair
189,33.85161987,-8.82993517,functional
190,34.88475031,-4.89751605,non functional
191,34.95840922,-8.51078169,functional
192,35.2725042,-8.19550192,functional
193,38.34276796,-6.60873088,non functional
194,34.71600987,-9.12973959,functional
195,39.77883219,-10.60671713,functional
196,37.89233459,-4.36699297,functional
197,37.59718978,-3.08465534,non functional
198,33.50998861,-2.15235319,non functional
199,33.78466711,-3.72624692,functional needs repair
200,30.75176889,-2.54922891,functional
201,34.89458362,-4.49407781,non functional
202,34.89930829,-9.20451104,functional
203,34.920323100000005,-8.83707693,functional
204,30.49985221,-2.5554993,functional needs repair
205,31.77582328,-1.33162743,non functional
206,32.85025146,-9.01509636,functional
207,36.78231907,-3.36937009,functional
208,38.23544422,-6.63641192,non functional
209,35.88015611,-3.25083059,functional
210,34.5688417,-8.91716508,non functional
211,33.82643865,-9.52747959,non functional
212,30.35823687,-5.56948805,non functional
213,33.24244114,-9.31914172,non functional
214,37.82287905,-4.14888473,functional needs repair
215,33.93868915,-9.61165417,non functional
216,37.35509612,-3.40154092,functional needs repair
217,33.10016187,-3.81255032,functional
218,36.65057433,-3.2526794,functional
219,33.10623082,-9.03216574,functional needs repair
220,34.96353666,-4.67802251,functional
221,37.95878138,-4.43495404,functional needs repair
222,36.97044487,-3.34985393,non functional
223,29.88356158,-4.59970578,functional
224,38.93735313,-6.70497547,non functional
225,33.35805782,-2.07269915,functional
226,37.08879175,-6.01081035,functional
227,34.64498869,-4.74212404,functional
228,32.16614798,-3.64794666,functional
229,32.91684591,-2.84922488,functional
230,38.4687019,-5.13246175,functional
231,33.00023911,-2.07363796,non functional
232,34.98778437,-4.64321463,functional needs repair
233,39.33063258,-10.99280378,non functional
234,35.53081946,-4.50268446,non functional
235,33.333789,-8.95920754,non functional
236,33.2773436,-4.20136566,non functional
237,37.50789059,-6.26635194,functional needs repair
238,33.0591187,-8.568394699999999,functional needs repair
239,38.97388970000001,-5.12551864,non functional
240,36.83283068,-6.09538776,non functional
241,31.73311371,-2.47636967,non functional
242,35.62759083,-6.03113722,non functional
243,39.09126059,-4.9549518,non functional
244,35.06153079,-7.91507677,functional
245,31.80083428,-1.31490138,non functional
246,35.87761667,-7.42197042,functional
247,38.70152604,-5.13617489,functional
248,37.43964118,-3.31993627,functional
249,39.24417821,-7.36829284,non functional
250,34.63225535,-8.72031632,functional
251,38.79470824,-10.57239234,functional
252,37.5816604,-3.2649629,non functional
253,34.077426692028794,-5.706032659626431,functional needs repair
254,34.3039125,-9.5043126,functional
255,32.50515031,-3.91165507,non functional
256,34.077426692028794,-5.706032659626431,non functional
257,39.76790839,-10.37243798,non functional
258,35.62422947,-7.86001982,functional
259,31.04447027,-7.50921781,non functional
260,31.45223354,-1.29523982,non functional
261,35.06630886,-5.85530454,non functional
262,35.63768716,-6.32118,non functional
263,33.0849318,-3.75139073,non functional
264,35.91196769,-5.79362559,functional
265,36.76604605,-3.39285751,non functional
266,30.12658076,-4.43681809,functional needs repair
267,37.56451071,-4.18247567,functional
268,33.30381177,-8.95958218,functional
269,38.80660601,-10.56479172,functional
270,33.69121711,-9.45005507,non functional
271,32.74750562,-5.630633,non functional
272,32.71120577,-8.81026548,functional
273,33.06037263,-3.83408324,functional
274,30.5365143,-3.79134872,functional
275,34.73579846,-11.16676157,non functional
276,36.36552941,-8.77905499,functional
277,39.11013687,-4.75461109,non functional
278,37.67816216,-3.69879186,functional
279,31.35287524,-7.68709583,functional needs repair
280,30.01709818,-4.33258278,functional
281,30.70845573,-3.59108444,functional
282,33.83495799,-3.76408399,functional
283,36.65864318,-3.3307891000000005,non functional
284,30.39148972,-5.10506992,functional needs repair
285,34.077426692028794,-5.706032659626431,functional
286,37.29307888,-3.2217387000000004,non functional
287,33.99969741,-3.56849388,functional
288,31.53969095,-7.90807484,functional
289,30.74937852,-3.41197674,non functional
290,37.59776312,-6.89558991,non functional
291,34.84539417,-4.26244399,non functional
292,36.90794506,-3.17881406,functional
293,35.73363834,-3.30450464,functional
294,37.37037474,-3.30815036,functional
295,35.86593887,-5.97347421,functional
296,39.73445071,-10.84665973,non functional
297,33.04857289,-1.84987437,non functional
298,32.6262126,-9.24781007,non functional
299,38.69103275,-10.87666127,non functional
300,30.51219714,-2.50530793,functional
301,34.077426692028794,-5.706032659626431,functional
302,33.02122705,-3.74548548,functional
303,33.76897675,-9.57524712,non functional
304,33.43091711,-4.38908379,functional
305,31.87632762,-3.15255484,non functional
306,34.077426692028794,-5.706032659626431,functional
307,33.59620292,-9.3522683,functional needs repair
308,35.25506862,-4.30052711,functional needs repair
309,39.68832862,-7.9593708,non functional
310,36.03263045,-10.53104474,non functional
311,33.61237059,-8.87481184,non functional
312,33.8783666,-9.63286017,non functional
313,30.71672742,-1.28905466,non functional
314,38.86287361,-7.16541013,non functional
315,30.4743807,-3.59878746,non functional
316,32.0258239,-8.93900583,functional
317,34.077426692028794,-10.32095944,non functional
318,38.78345753,-5.10821911,non functional
319,34.29424585,-8.642195599999999,functional needs repair
320,40.11676805,-10.28367558,functional needs repair
321,34.077426692028794,-5.706032659626431,functional needs repair
322,36.35396378,-6.22393508,functional
323,34.077426692028794,-5.706032659626431,non functional
324,39.46211242,-8.85092324,functional
325,31.36602526,-7.97201012,non functional
326,34.077426692028794,-5.706032659626431,functional
327,29.69182833,-4.83944178,functional
328,34.89217109,-11.35532944,functional
329,36.04584041,-5.92990107,non functional
330,38.36129061,-9.94014777,non functional
331,34.59648052,-9.08290229,functional
332,32.94752532,-9.32481172,functional
333,33.50643109,-3.28863325,functional
334,34.06791698,-3.17625599,functional
335,37.16959606,-10.87676104,functional
336,35.70202678,-5.63404591,non functional
337,34.41769364,-9.21264691,non functional
338,36.85533064,-7.95071025,functional
339,31.86585448,-8.65868897,functional
340,33.46782217,-4.03006799,functional
341,36.714157,-8.73986417,functional
342,36.55763103,-6.23339413,non functional
343,36.6901363,-3.34459861,functional
344,35.51442025,-4.41280954,functional
345,37.52655685,-3.3144532,non functional
346,34.077426692028794,-5.706032659626431,functional
347,36.77188524,-3.1465134,non functional
348,34.65294448,-11.10267439,functional
349,38.189668,-6.84613413,functional
350,39.73442461,-10.56919171,functional
351,36.98516699,-3.56223676,functional
352,34.33972708,-8.61393801,functional needs repair
353,30.03804351,-4.77413286,functional
354,34.67761089,-5.04209532,functional needs repair
355,33.45691647,-8.56654494,functional needs repair
356,36.83183178,-3.52725556,non functional
357,31.45298632,-2.13334776,functional needs repair
358,33.72743813,-8.95106078,non functional
359,36.94719085,-2.9594595,functional
360,36.41670102,-6.22015672,non functional
361,37.04899808,-5.84463878,non functional
362,34.4015168,-9.61540484,functional
363,33.35584599,-4.02026539,functional
364,30.20482368,-4.50371347,non functional
365,36.95971049,-7.69740663,functional
366,36.84681264,-3.36932707,functional
367,33.46719471,-2.15195843,functional
368,33.10638261,-4.8807539,functional
369,36.65697271,-8.13354916,functional
370,34.077426692028794,-5.706032659626431,functional
371,35.91834892,-3.17692667,functional
372,36.48669063,-8.0823985,functional
373,35.63182868,-10.26251276,functional
374,34.58307637,-9.0613773,non functional
375,39.18336934,-8.14122174,non functional
376,36.88414665,-11.44710356,functional
377,36.23490716,-6.17159079,functional needs repair
378,36.96195662,-11.3119134,functional needs repair
379,36.72938267,-6.08425531,functional
380,37.54983568,-3.54812862,functional
381,37.33476236,-3.30046366,functional needs repair
382,35.66085777,-3.3252079,functional
383,34.21765613,-2.97432722,functional
384,36.35436543,-8.81788385,functional
385,35.33758379,-10.45739934,functional
386,33.42849515,-7.45825658,non functional
387,32.81860519999999,-4.27140543,non functional
388,36.68729462,-3.58425942,functional
389,34.50392432,-9.87356716,functional
390,33.31855816,-2.6736728,functional
391,32.04720198,-8.86304324,non functional
392,34.76969867,-9.12297853,functional
393,39.15988725,-6.90254757,non functional
394,37.51103348,-3.26130463,non functional
395,37.88913692,-4.26978864,functional
396,34.99999697,-8.46718958,functional
397,39.30951061,-10.66709242,non functional
398,36.04384037,-10.99183394,non functional
399,37.819264,-6.77130648,functional
400,38.11780585,-10.92589018,non functional
401,36.92693499,-3.46538763,functional
402,32.88066822,-2.01163745,functional
403,33.82500278,-9.44602467,non functional
404,33.09165496,-2.99658524,non functional
405,32.65185323,-3.84954464,functional
406,33.64477524,-2.8630691,functional
407,35.57900029,-7.86736004,functional
408,37.23667961,-7.10013213,functional needs repair
409,37.32334128,-11.44864298,functional
410,30.62028881,-7.36693972,non functional
411,34.85214846,-8.66717288,non functional
412,36.93386583,-7.13289579,non functional
413,30.95668868,-2.7845813,functional
414,37.64666821,-3.79164451,functional needs repair
415,34.47972070000001,-9.72147456,non functional
416,32.50846356,-2.54770471,functional
417,39.17840407,-6.93801296,non functional
418,34.83510749,-11.30350354,functional
419,37.06946585,-6.8202965,functional
420,37.48326369,-3.39258445,functional
421,37.0304035,-3.20928183,functional
422,39.04848579,-6.72041799,non functional
423,34.3749434,-8.70124771,functional
424,38.83957764,-7.75992386,non functional
425,37.35486229,-3.2451682,non functional
426,35.94500825,-3.20935984,non functional
427,31.82735182,-1.21231446,non functional
428,39.17884933,-6.97320593,non functional
429,33.24888389,-8.8435735,functional
430,37.27119332,-3.29718526,functional
431,33.01279745,-3.80931874,non functional
432,35.87087695,-4.13690289,functional
433,34.077426692028794,-5.706032659626431,functional
434,33.54222258,-9.17665663,functional needs repair
435,37.41089685,-3.44935828,non functional
436,36.65918148,-3.30484906,functional
437,33.46966096,-3.6079163,non functional
